Normalized_GP,Variants,Number_of_Variants,Total_Ship_To_Count,Total_Row_Count,Countries,Any_Normalization_Changed
DAWN INDUSTRIES,"['DAWN INDUSTRIES', 'Dawn Industries']",2,3,4,['United States Of America'],False
DIVERSIFIED HONING,"['DIVERSIFIED HONING', 'Diversified Honing Inc']",2,3,5,['United States Of America'],True
DUROBOR GROUP,"['DUROBOR GROUP', 'DUROBOR GROUP SA']",2,3,6,['Belgium'],True
DYNAMIC ENGINEERING,"['DYNAMIC ENGINEERING', 'Dynamic Engineering Inc']",2,3,6,['United States Of America'],True
ELYRIA SPRING AND SPECIALTY,"['ELYRIA SPRING AND SPECIALTY', 'Elyria Spring and Specialty Inc']",2,3,4,['United States Of America'],True
EMC,"['EMC', 'EMC SRL']",2,3,5,"['Italy', 'United States Of America']",True
ENGINEERING AND CYCLE,"['Engineering and Cycle', 'ENGINEERING AND CYCLE']",2,3,5,['United States Of America'],False
EURO METAL,"['EURO-METAL SRL', 'EURO METAL SRL']",2,3,6,['Italy'],True
FABER INDUSTRIE,"['FABER INDUSTRIE', 'FABER INDUSTRIE SPA']",2,3,9,['Italy'],True
FEDERAL SCREW WORKS,"['FEDERAL SCREW WORKS', 'Federal Screw Works']",2,3,8,['United States Of America'],False
GALYON MACHINE SHOP,"['GALYON MACHINE SHOP', 'Galyon Machine Shop Inc']",2,3,5,['United States Of America'],True
GARLOCK SEALING TECHNOLOGIES,"['Garlock Sealing Technologies', 'GARLOCK SEALING TECHNOLOGIES']",2,3,6,['United States Of America'],False
GENERAL MACHINE PRODUCTS,"['GENERAL MACHINE PRODUCTS', 'General Machine Products']",2,3,4,['United States Of America'],False
GEZE,"['GEZE', 'GEZE GMBH']",2,3,5,['Germany'],True
GMF,"['GMF', 'GMF BV']",2,3,5,"['Italy', 'Netherlands']",True
GREG TERRELL,"['GREG TERRELL', 'Greg Terrell']",2,3,5,['United States Of America'],False
H AND S PRECISION SCREW PRODUCTS,"['H AND S PRECISION SCREW PRODUCTS', 'H and S Precision Screw Products']",2,3,6,['United States Of America'],False
HC STARCK,"['HC STARCK', 'HC Starck Inc']",2,3,5,"['Germany', 'United States Of America']",True
HERDEMAN,"['HERDEMAN CORPORATION', 'Herdeman Corporation']",2,3,6,['United States Of America'],True
HOLMATRO,"['HOLMATRO', 'HOLMATRO INCORPORATED']",2,3,6,"['Netherlands', 'United States Of America']",True
HTD MACHINING,"['HTD MACHINING COMPANY', 'HTD MACHINING']",2,3,6,['United States Of America'],True
HURCO,"['HURCO', 'Hurco']",2,3,5,['United States Of America'],False
IDEMITSU,"['Idemitsu', 'IDEMITSU']",2,3,4,"['Japan', 'United States Of America']",False
IMA,"['IMA', 'IMA SPA']",2,3,7,['Italy'],True
J EXIM,"['J EXIM INC', 'J EXIM']",2,3,6,['United States Of America'],True
K AND D MACHINE,"['K AND D MACHINE CORPORATION', 'K AND D MACHINE CORP']",2,3,6,['United States Of America'],True
KEYSTONE PROFILES,"['KEYSTONE PROFILES', 'Keystone Profiles LTD']",2,3,4,['United States Of America'],True
KOVOLIT,"['KOVOLIT', 'Kovolit']",2,3,4,['Czech Republic'],False
LAP TECH INDUSTRIES,"['LAP TECH INDUSTRIES', 'Lap Tech Industries Inc']",2,3,4,['United States Of America'],True
LEETONIA TOOLS,"['LEETONIA TOOLS', 'Leetonia Tools']",2,3,5,['United States Of America'],False
LONG MACHINE,"['LONG MACHINE', 'LONG MACHINE INC']",2,3,5,['United States Of America'],True
LS STARRETT,"['LS STARRETT', 'LS STARRETT COMPANY']",2,3,7,['United States Of America'],True
LUBE TECH,"['Lube Tech', 'LUBE TECH']",2,3,7,['United States Of America'],False
MAJOR TOOL AND MACHINE,"['MAJOR TOOL AND MACHINE', 'Major Tool and Machine Inc']",2,3,4,['United States Of America'],True
MEDTRONIC,"['MEDTRONIC', 'MEDTRONIC INC']",2,3,4,"['Ireland', 'United States Of America']",True
METSCH REFRACTORIES,"['Metsch Refractories Inc', 'METSCH REFRACTORIES INC']",2,3,4,['United States Of America'],True
MICHAEL HARRIS,"['MICHAEL HARRIS', 'Michael Harris']",2,3,5,['United States Of America'],False
MONUMENT POWDER COATING,"['MONUMENT POWDER COATING INC', 'MONUMENT POWDER COATING']",2,3,6,['United States Of America'],True
MYERS PRECISION GRINDING,"['MYERS PRECISION GRINDING', 'MYERS PRECISION GRINDING CO']",2,3,6,['United States Of America'],True
NATECH,"['NATECH', 'NATECH LIMITED']",2,3,5,"['England', 'Germany']",True
NEW TECHNOLOGY,"['NEW TECHNOLOGY', 'NEW TECHNOLOGY INC']",2,3,6,['United States Of America'],True
NORMALIEN,"['NORMALIEN', 'NORMALIEN SPA']",2,3,6,['France'],True
NOSLER,"['NOSLER', 'NOSLER INC']",2,3,6,['United States Of America'],True
NOVELIS,"['NOVELIS', 'Novelis Inc']",2,3,6,['United States Of America'],True
OMEGA PLASTICS,"['OMEGA PLASTICS', 'OMEGA PLASTICS INC']",2,3,5,['United States Of America'],True
PENN ENGINEERING,"['PENN ENGINEERING', 'Penn Engineering']",2,3,5,['United States Of America'],False
PERRYMAN,"['PERRYMAN COMPANY', 'PERRYMAN CO']",2,3,5,['United States Of America'],True
PLASSER AMERICAN,"['PLASSER AMERICAN', 'Plasser American']",2,3,6,['United States Of America'],False
PRINT DIRECT FOR LESS,"['PRINT DIRECT FOR LESS', 'Print Direct For Less']",2,3,10,['United States Of America'],False
PROCECO,"['PROCECO', 'PROCECO LTD']",2,3,6,['Canada'],True
REV C,"['Rev C', 'REV C']",2,3,4,['United States Of America'],False
RPM,"['RPM', 'RPM SPA']",2,3,8,['United States Of America'],True
SABIANA,"['SABIANA', 'SABIANA SPA']",2,3,8,['Italy'],True
SHEFFER,"['SHEFFER CORPORATION', 'SHEFFER']",2,3,4,['United States Of America'],True
SIAP,"['SIAP', 'SIAP SPA']",2,3,7,['Italy'],True
SICIT,"['SICIT', 'SICIT SRL']",2,3,8,['Italy'],True
SIG SAUER,"['Sig Sauer', 'SIG SAUER']",2,3,5,['United States Of America'],False
SIMEC,"['SIMEC', 'SIMEC SPA']",2,3,8,['Mexico'],True
SKY INNOVATIONS,"['SKY INNOVATIONS', 'Sky Innovations']",2,3,4,['United States Of America'],False
SPINOTTI COMPRESSORI,"['SPINOTTI COMPRESSORI', 'SPINOTTI COMPRESSORI SRL']",2,3,8,['Italy'],True
SPIRAL INGRANAGGI,"['SPIRAL INGRANAGGI', 'SPIRAL INGRANAGGI SRL']",2,3,8,['Italy'],True
STORED ENERGY CONCEPTS,"['Stored Energy Concepts Inc', 'STORED ENERGY CONCEPTS']",2,3,4,['United States Of America'],True
SUR SEAL,"['Sur Seal Corporation', 'SUR SEAL CORPORATION']",2,3,5,['United States Of America'],True
T AND T MACHINE SHOP,"['T AND T MACHINE SHOP', 'T and T Machine Shop']",2,3,4,['United States Of America'],False
T T TOMORROW TECHNOLOGY,"['T T TOMORROW TECHNOLOGY', 'T.T. TOMORROW TECHNOLOGY SPA']",2,3,6,[],True
TCN,"['TCN', 'TCN SRL']",2,3,8,['Italy'],True
