Normalized_GP,Variants,Number_of_Variants,Total_Ship_To_Count,Total_Row_Count,Countries,Any_Normalization_Changed
SERVICE MACHINE SPECIALTIES,"['SERVICE MACHINE SPECIALTIES', 'Service Machine Specialties']",2,2,4,['United States Of America'],False
SHALMET,"['SHALMET', 'SHALMET CORPORATION']",2,2,4,['United States Of America'],True
SHERWOOD VALVE,"['SHERWOOD VALVE', 'SHERWOOD VALVE LLC']",2,2,6,['United States Of America'],True
SHIJIAZHUANG FULUKAIER SAI AISI SHIP MW,"['SHIJIAZHUANG FULUKAIER SAI AISI SHIP MW', 'SHIJIAZHUANG FULUKAIER-SAI AISI SHIP MW']",2,2,3,[],True
SHINHWA,"['SHINHWA', 'Shinhwa']",2,2,5,['South Korea'],False
SIAM FORGING,"['SIAM FORGING', 'Siam Forging']",2,2,2,['Thailand'],False
SILVER TOOL,"['SILVER TOOL', 'Silver Tool Inc']",2,2,3,"['Canada', 'United States Of America']",True
SIMMONS ENGINEERING,"['SIMMONS ENGINEERING', 'Simmons Engineering']",2,2,3,['United States Of America'],False
SIMMONS MFG,"['SIMMONS MFG', 'Simmons Mfg']",2,2,2,['United States Of America'],False
SLOAN VALVE,"['SLOAN VALVE', 'SLOAN VALVE COMPANY']",2,2,3,['United States Of America'],True
SOFLO MACHINING,"['SOFLO MACHINING', 'Soflo Machining']",2,2,2,['United States Of America'],False
SPACE CITY MACHINE AND TOOL,"['SPACE CITY MACHINE AND TOOL', 'Space City Machine and Tool']",2,2,4,['United States Of America'],False
SPECIAL METAL STAMPING,"['SPECIAL METAL STAMPING', 'Special Metal Stamping']",2,2,4,['United States Of America'],False
SPECIAL SPRING,"['SPECIAL SPRING', 'SPECIAL SPRING SRL']",2,2,3,"['Italy', 'United States Of America']",True
SPECIALTY MACHINE,"['SPECIALTY MACHINE', 'Specialty Machine']",2,2,3,['United States Of America'],False
SPECTRUM CUSTOM MOLDS,"['SPECTRUM CUSTOM MOLDS', 'Spectrum Custom Molds']",2,2,4,['United States Of America'],False
SPECTRUM PLATING,"['SPECTRUM PLATING', 'SPECTRUM PLATING COMPANY']",2,2,4,['United States Of America'],True
STANDARD OIL,"['STANDARD OIL', 'Standard Oil']",2,2,5,['Japan'],False
STARK INDUSTRIAL,"['STARK INDUSTRIAL', 'Stark Industrial LLC']",2,2,3,['United States Of America'],True
STELLAR PRECISION COMPONENTS,"['STELLAR PRECISION COMPONENTS', 'Stellar Precision Components']",2,2,2,['United States Of America'],False
STENNER PUMP,"['STENNER PUMP CO', 'STENNER PUMP COMPANY']",2,2,4,['United States Of America'],True
STEWARTS OF AMERICA,"['STEWARTS OF AMERICA', 'Stewarts of America']",2,2,5,['United States Of America'],False
STOREY MACHINING SERVICES,"['Storey Machining Services', 'Storey Machining Services LLC']",2,2,3,['United States Of America'],True
STRUCTURES UNLIMITED,"['STRUCTURES UNLIMITED INC', 'Structures Unlimited Inc']",2,2,4,['United States Of America'],True
STULLS MACHINE AND FABRICATION,"['STULLS MACHINE AND FABRICATION', 'Stulls Machine and Fabrication']",2,2,3,['United States Of America'],False
SUPERIOR MACHINE,"['SUPERIOR MACHINE COMPANY', 'SUPERIOR MACHINE INC']",2,2,3,['United States Of America'],True
SUPERIOR PRODUCTS,"['SUPERIOR PRODUCTS', 'Superior Products Inc']",2,2,4,['United States Of America'],True
SYNOVOS,"['SYNOVOS', 'SYNOVOS INC']",2,2,4,['United States Of America'],True
TAURUS STAMPING,"['TAURUS STAMPING INC', 'Taurus Stamping']",2,2,4,['Canada'],True
TELECON,"['TELECON LLC', 'Telecon LLC']",2,2,3,['United States Of America'],True
TEMPER,"['TEMPER', 'TEMPER CORP']",2,2,4,['United States Of America'],True
TESSY PLASTICS,"['TESSY PLASTICS', 'TESSY PLASTICS LLC']",2,2,4,['United States Of America'],True
TEXAS SPEED AND PERFORMANCE,"['TEXAS SPEED AND PERFORMANCE', 'Texas Speed and Performance']",2,2,4,['United States Of America'],False
TF AND T,"['TF AND T INC', 'TF and T Inc']",2,2,6,['United States Of America'],True
THE AUTO BOLT,"['The Auto Bolt Co', 'The Auto Bolt Company']",2,2,2,['United States Of America'],True
THE MASTER PRODUCTS,"['THE MASTER PRODUCTS COMPANY', 'The Master Products Co']",2,2,3,['United States Of America'],True
THE ROUTER MILL,"['THE ROUTER MILL LLC', 'The Router Mill LLC']",2,2,2,['United States Of America'],True
THERMAL LUBE,"['THERMAL LUBE', 'Thermal Lube']",2,2,2,['United States Of America'],False
THERMEDX,"['THERMEDX LLC', 'Thermedx LLC']",2,2,4,['United States Of America'],True
THERMETCO,"['THERMETCO', 'THERMETCO INC']",2,2,4,['Canada'],True
THUMB TOOL AND ENGINEERING,"['THUMB TOOL AND ENGINEERING', 'THUMB TOOL AND ENGINEERING CO']",2,2,4,['United States Of America'],True
TONNARD MFG,"['TONNARD MFG CORP', 'Tonnard Mfg Corp']",2,2,2,[],True
TOOLING DYNAMICS,"['TOOLING DYNAMICS', 'TOOLING DYNAMICS LLC']",2,2,4,['United States Of America'],True
TOOLING TECHNOLOGY,"['TOOLING TECHNOLOGY', 'Tooling Technology']",2,2,4,['United States Of America'],False
TOOLSOUTH,"['TOOLSOUTH INC', 'Toolsouth Inc']",2,2,4,['United States Of America'],True
TOP NOTCH TOOL AND ENGR,"['TOP NOTCH TOOL AND ENGR', 'Top Notch Tool and Engr']",2,2,2,['United States Of America'],False
TRACE ENGINEERING,"['TRACE ENGINEERING', 'Trace Engineering']",2,2,5,['United States Of America'],False
TRANSPLY,"['TRANSPLY', 'TRANSPLY INC']",2,2,5,['United States Of America'],True
TRANTECH RADIATOR PRODUCTS,"['TRANTECH RADIATOR PRODUCTS', 'TRANTECH RADIATOR PRODUCTS INC']",2,2,5,['United States Of America'],True
TRENDIUM POOL PRODUCTS,"['TRENDIUM POOL PRODUCTS', 'TRENDIUM POOL PRODUCTS INC']",2,2,4,['Canada'],True
TRICO MACHINE PRODUCTS,"['TRICO MACHINE PRODUCTS', 'Trico Machine Products']",2,2,4,['United States Of America'],False
TRIFECTA TOOL AND ENGINEERING,"['TRIFECTA TOOL AND ENGINEERING', 'Trifecta Tool and Engineering']",2,2,4,['United States Of America'],False
TRISTATE TOOL AND DIE,"['TRISTATE TOOL AND DIE CO', 'TRISTATE TOOL and DIE CO']",2,2,4,['United States Of America'],True
TROY MANUFACTURING,"['TROY MANUFACTURING COMPANY', 'Troy Manufacturing Company Inc']",2,2,2,['United States Of America'],True
TRUSTY COOK,"['TRUSTY COOK', 'Trusty Cook']",2,2,4,['United States Of America'],False
TT,"['TT', 'TT SRL']",2,2,2,['Italy'],True
TUBE FAB ROMAN ENGINEERING,"['TUBE FAB ROMAN ENGINEERING', 'Tube Fab Roman Engineering']",2,2,3,['United States Of America'],False
TUBE HONING AND FINISHING,"['TUBE HONING AND FINISHING', 'TUBE HONING and FINISHING']",2,2,4,['Canada'],False
TUBE METHODS,"['TUBE METHODS INC', 'Tube Methods Inc']",2,2,4,['United States Of America'],True
TUBE SPECIALTIES,"['TUBE SPECIALTIES', 'TUBE SPECIALTIES COMPANY INC']",2,2,4,['United States Of America'],True
TURNCORP,"['TURNCORP', 'TURNCORP INC']",2,2,6,['United States Of America'],True
UNIMATIC,"['UNIMATIC', 'UNIMATIC INC']",2,2,4,['United States Of America'],True
UNITED GEAR AND ASSY,"['UNITED GEAR AND ASSY', 'United Gear and ASSY']",2,2,2,['United States Of America'],False
UNITED INDUSTRIES,"['UNITED INDUSTRIES', 'UNITED INDUSTRIES INC']",2,2,3,['United States Of America'],True
UNIVERSAL METAL PRODUCTS,"['UNIVERSAL METAL PRODUCTS', 'Universal Metal Products']",2,2,3,['United States Of America'],False
US CARGO SYSTEMS,"['US CARGO SYSTEMS', 'US Cargo Systems']",2,2,3,['United States Of America'],False
VAC AERO INTERNATIONAL,"['VAC AERO INTERNATIONAL', 'VAC AERO INTERNATIONAL INC']",2,2,4,['Canada'],True
VARBROS,"['VARBROS', 'Varbros LLC']",2,2,3,['United States Of America'],True
VECTOR MACHINE,"['VECTOR MACHINE', 'Vector Machine']",2,2,2,['United States Of America'],False
VERMONT PRECISION TOOL,"['VERMONT PRECISION TOOL', 'Vermont Precision Tool']",2,2,4,['United States Of America'],False
VICTOR INSULATOR,"['VICTOR INSULATOR INC', 'Victor Insulator Inc']",2,2,4,['United States Of America'],True
VICTOR INSULATORS,"['VICTOR INSULATORS', 'Victor Insulators Inc']",2,2,3,['United States Of America'],True
VIEGA,"['VIEGA', 'VIEGA LLC']",2,2,3,"['Germany', 'United States Of America']",True
VISTA METALS,"['VISTA METALS', 'Vista Metals Inc']",2,2,3,['United States Of America'],True
WARREN MANUFACTURING,"['WARREN MANUFACTURING', 'Warren Manufacturing']",2,2,2,['United States Of America'],False
WASHINGTON TOOL AND MACHINE,"['WASHINGTON TOOL AND MACHINE', 'Washington Tool and Machine']",2,2,2,['United States Of America'],False
WATERS MACHINE,"['WATERS MACHINE CO', 'Waters Machine']",2,2,3,['United States Of America'],True
WEBSTER MACHINE WORKS,"['WEBSTER MACHINE WORKS', 'WEBSTER MACHINE WORKS LLC']",2,2,4,['United States Of America'],True
WELDON SOLUTIONS,"['WELDON SOLUTIONS', 'Weldon Solutions']",2,2,3,['United States Of America'],False
WESTERN FORGE,"['WESTERN FORGE', 'WESTERN FORGE CORPORATION']",2,2,2,['United States Of America'],True
WIRE PRODUCTS,"['Wire Products', 'Wire Products Co']",2,2,2,['United States Of America'],True
WOOLF AIRCRAFT PRODUCTS,"['WOOLF AIRCRAFT PRODUCTS', 'Woolf Aircraft Products']",2,2,4,['United States Of America'],False
WORKHOLDING TOOLS,"['WORKHOLDING TOOLS LLC', 'Workholding Tools LLC']",2,2,4,['United States Of America'],True
WRIGHT TOOL,"['WRIGHT TOOL COMPANY', 'Wright Tool Company']",2,2,2,['United States Of America'],True
ZAGAR,"['ZAGAR LLC', 'Zagar Inc']",2,2,4,['United States Of America'],True
ZIERKE BUILT MFG,"['ZIERKE BUILT MFG', 'ZIERKE BUILT MFG INC']",2,2,3,['United States Of America'],True
