Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP
DEAN FOODS,7,14,United States Of America,DEAN FOODS
ELLWOOD GROUP,7,10,United States Of America,ELLWOOD GROUP
EMAG,7,12,Germany,EMAG
FORGED SOLUTIONS GROUP,7,9,England,FORGED SOLUTIONS GROUP
GARDNER DENVER,7,10,United States Of America,GARDNER DENVER
GEHRING,7,13,Germany,GEHRING
GRUPO OTUA,7,10,Spain,GRUPO OTUA
HENKEL,7,12,Germany,HENKEL
Haas Automation,7,12,United States Of America,HAAS AUTOMATION
ISCAR,7,11,Israel,ISCAR
JINCHENGNUO GROUP,7,14,China,JINCHENGNUO GROUP
KANTO BUSSAN CO,7,14,Japan,KANTO BUSSAN
KYODO YUSHI,7,14,Japan,KYODO YUSHI
LEROY SOMER,7,8,France,LEROY SOMER
MESA PARTS GMBH,7,13,Germany,MESA PARTS
METALTECH,7,16,United States Of America,METALTECH
MUBEA,7,12,Germany,MUBEA
NATIONAL OILWELL,7,12,United States Of America,NATIONAL OILWELL
OSRAM GROUP,7,11,Germany,OSRAM GROUP
PRECISION CASTPARTS,7,16,United States Of America,PRECISION CASTPARTS
PT SOLUTIONS,7,17,United States Of America,PT SOLUTIONS
RHI MAGNESITA,7,9,Austria,RHI MAGNESITA
ROCKWELL,7,13,Mexico,ROCKWELL
ROLLER BEARING,7,11,United States Of America,ROLLER BEARING
ROTEK,7,15,United States Of America,ROTEK
SIRA GROUP,7,14,Italy,SIRA GROUP
SKF,7,15,Sweden,SKF
SPACESAVER,7,13,United States Of America,SPACESAVER
SRS DISTRIBUTION,7,11,United States Of America,SRS DISTRIBUTION
STRYKER,7,16,United States Of America,STRYKER
TAIZHOU MAICHANG,7,18,China,TAIZHOU MAICHANG
TOSHIBA,7,15,Japan,TOSHIBA
TRELLEBORG,7,10,Sweden,TRELLEBORG
UNION ELECTRIC AKERS,7,15,United States Of America,UNION ELECTRIC AKERS
VISAVAKIT PATANA,7,11,Thailand,VISAVAKIT PATANA
WESTCHEM TECHNOLOGIES,7,13,Canada,WESTCHEM TECHNOLOGIES
WURTH,7,14,Germany,WURTH
XYLEM,7,10,Spain,XYLEM
ZF,7,9,Germany,ZF
AEROSAFE PRODUCTS,6,20,United States Of America,AEROSAFE PRODUCTS
ALCON,6,17,Switzerland,ALCON
ARIEL CORPORATION,6,11,United States Of America,ARIEL
AYZAR,6,6,Turkey,AYZAR
BLOUNT,6,12,United States Of America,BLOUNT
BRADKEN,6,8,Australia,BRADKEN
BROEN,6,15,Poland,BROEN
CARDINAL SCALE MFG,6,8,United States Of America,CARDINAL SCALE MFG
CLASSIC COATINGS,6,10,United States Of America,CLASSIC COATINGS
COMEP,6,11,Italy,COMEP
CONDO,6,6,United States Of America,CONDO
CONSTELLIUM,6,16,France,CONSTELLIUM
COVENTYA,6,9,France,COVENTYA
Cameron International,6,12,United States Of America,CAMERON INTERNATIONAL
DEFI GROUP,6,8,France,DEFI GROUP
DEVILLE ASC,6,13,France,DEVILLE ASC
ELGIN FASTENERS GROUP,6,9,United States Of America,ELGIN FASTENERS GROUP
EVIOSYS,6,6,Spain,EVIOSYS
FLEXTRONICS,6,10,Singapore,FLEXTRONICS
FONTANA GROUP,6,22,Italy,FONTANA GROUP
GEORGIA MACHINE,6,11,United States Of America,GEORGIA MACHINE
GLEN MAY,6,6,Germany,GLEN MAY
Hill Rom Fabrication,6,11,United States Of America,HILL ROM FABRICATION
INDUCTOTHERM,6,9,Brazil,INDUCTOTHERM
KELVION,6,8,Germany,KELVION
LABEKOA INDUSTRIAL,6,10,Spain,LABEKOA INDUSTRIAL
MCCONWAY AND TORLEY,6,10,United States Of America,MCCONWAY AND TORLEY
METATHERM,6,7,Sweden,METATHERM
METSO,6,10,Brazil,METSO
NISSENS KØLERFABRIK,6,11,Denmark,NISSENS KØLERFABRIK
NOCO,6,12,Canada,NOCO
NORD CHROME,6,6,France,NORD CHROME
NORMA GROUP,6,11,Germany,NORMA GROUP
O M G,6,10,Italy,O M G
OUTOKUMPU,6,9,Finland,OUTOKUMPU
Oras Olenso,6,6,,ORAS OLENSO
PIONEER METAL FINISHING,6,12,United States Of America,PIONEER METAL FINISHING
PROCTER AND GAMBLE,6,12,United States Of America,PROCTER AND GAMBLE
PTI,6,12,Brazil,PTI
ROMI,6,14,Brazil,ROMI
RUBIX,6,8,England,RUBIX
Resonac,6,9,Japan,RESONAC
SACYR,6,6,Spain,SACYR
SISOURCE,6,12,Sweden,SISOURCE
SMS GROUP,6,9,Germany,SMS GROUP
SNA EUROPE,6,7,Netherlands,SNA EUROPE
SNAPON,6,18,United States Of America,SNAPON
SPACE EXPLORATION TECHNOLOGIES,6,9,United States Of America,SPACE EXPLORATION TECHNOLOGIES
STELLANTIS,6,9,Netherlands,STELLANTIS
TAYLOR MACHINE WORKS,6,13,United States Of America,TAYLOR MACHINE WORKS
TEREX,6,12,United States Of America,TEREX
TORMEP,6,12,Brazil,TORMEP
VICINAY,6,6,Spain,VICINAY
WHITE DRIVE MOTORS,6,8,United States Of America,WHITE DRIVE MOTORS
XPO LOGISTICS,6,9,Spain,XPO LOGISTICS
ZIMMER BIOMET,6,10,United States Of America,ZIMMER BIOMET
3B SUPPLY,5,9,United States Of America,3B SUPPLY
AAGE OSTERGAARD,5,11,Denmark,AAGE OSTERGAARD
ACCUTEC BLADES INC,5,11,United States Of America,ACCUTEC BLADES
ADEPT MANUFACTURING,5,9,United States Of America,ADEPT MANUFACTURING
ADM,5,8,United States Of America,ADM
AIRGAS,5,12,United States Of America,AIRGAS
AJAX TOCCO MAGNETHERMIC,5,11,United States Of America,AJAX TOCCO MAGNETHERMIC
ALFING KESSLER,5,8,Germany,ALFING KESSLER
ALUMASC,5,5,England,ALUMASC
ALUPRESS,5,16,Italy,ALUPRESS
AMERICAN AIRLINES,5,11,United States Of America,AMERICAN AIRLINES
ARC INTERNATIONAL,5,9,France,ARC INTERNATIONAL
ASSOCIATED SPRING,5,9,United States Of America,ASSOCIATED SPRING
AUTOBLOK,5,21,Germany,AUTOBLOK
BALD EAGLE PRECISION,5,8,United States Of America,BALD EAGLE PRECISION
BALLISTIC ADVANTAGE,5,9,United States Of America,BALLISTIC ADVANTAGE
