Entity_ID,Representative,Members,Number_of_Variants,Ship_To_Count,Row_Count,Countries,Any_Normalization_Changed
E000692,SARL,SARL,,8,11,France,
E000683,BRENNTAG,BRENNTAG,,8,13,Germany,
E000691,ORONA,ORONA,,8,10,Australia,
E000690,NETZSCH,NETZSCH,,8,27,Germany,
E000689,METALCRAFT,Metalcraft,,8,12,United States Of America,
E000688,MANUFACTURINGLES,MANUFACTURINGLES,,8,12,Canada,
E000687,MAKINO,MAKINO,,8,19,United States Of America,
E000686,JOUSSEAU,JOUSSEAU,,8,9,France,
E000685,DAIKIN,DAIKIN,,8,13,Japan,
E000684,CUMMINS,CUMMINS,,8,12,United States Of America,
E000016,ROLLER BEARING,ROLLER BEARING | ROLLER BEARING COMPANY,2.0,8,12,United States Of America,True
E000015,EMAG,EMAG | EMAG LLC,2.0,8,13,Germany,True
E000682,BONFIGLIOLI,BONFIGLIOLI,,8,12,Italy,
E000681,ASSOCIATED FINISHING,ASSOCIATED FINISHING,,8,17,United States Of America,
E000680,AREVA,AREVA,,8,16,France,
E000679,ARCELORMITTAL,ARCELORMITTAL,,8,13,Luxembourg,
E000678,ACRO INDUSTRIES,ACRO INDUSTRIES,,8,13,United States Of America,
E000715,METALTECH,METALTECH,,7,16,United States Of America,
E000716,MUBEA,MUBEA,,7,12,Germany,
E000717,NATIONAL OILWELL,NATIONAL OILWELL,,7,12,United States Of America,
E000718,OSRAM GROUP,OSRAM GROUP,,7,11,Germany,
E000719,PRECISION CASTPARTS,PRECISION CASTPARTS,,7,16,United States Of America,
E000728,TAIZHOU MAICHANG,TAIZHOU MAICHANG,,7,18,China,
E000721,ROCKWELL,ROCKWELL,,7,13,Mexico,
E000722,ROTEK,ROTEK,,7,15,United States Of America,
E000723,SIRA GROUP,SIRA GROUP,,7,14,Italy,
E000724,SKF,SKF,,7,15,Sweden,
E000725,SPACESAVER,SPACESAVER,,7,13,United States Of America,
E000726,SRS DISTRIBUTION,SRS DISTRIBUTION,,7,11,United States Of America,
E000732,VISAVAKIT PATANA,VISAVAKIT PATANA,,7,11,Thailand,
E000700,CRANE PUMPS AND SYSTEMS,CRANE PUMPS AND SYSTEMS,,7,12,United States Of America,
E000699,CASH ACCOUNT,CASH ACCOUNT,,7,10,England,
E000698,ANVA GROUP,ANVA GROUP,,7,13,Spain,
E000697,AMENABAR,AMENABAR,,7,9,Spain,
E000696,ABBVIE,ABBVIE,,7,13,United States Of America,
E000706,GRUPO OTUA,GRUPO OTUA,,7,10,Spain,
E000707,HENKEL,HENKEL,,7,12,Germany,
E000727,STRYKER,STRYKER,,7,16,United States Of America,
E000703,FORGED SOLUTIONS GROUP,FORGED SOLUTIONS GROUP,,7,9,England,
E000702,ELLWOOD GROUP,ELLWOOD GROUP,,7,10,United States Of America,
E000736,ZF,ZF,,7,9,Germany,
E000735,XYLEM,XYLEM,,7,10,Spain,
E000734,WURTH,WURTH,,7,14,Germany,
E000733,WESTCHEM TECHNOLOGIES,WESTCHEM TECHNOLOGIES,,7,13,Canada,
E000731,UNION ELECTRIC AKERS,UNION ELECTRIC AKERS,,7,15,United States Of America,
E000730,TRELLEBORG,TRELLEBORG,,7,10,Sweden,
E000729,TOSHIBA,TOSHIBA,,7,15,Japan,
E000701,DEAN FOODS,DEAN FOODS,,7,14,United States Of America,
E000705,GEHRING,GEHRING,,7,13,Germany,
E000020,VALLEN,Vallen | VALLEN,2.0,7,12,United States Of America,False
E000019,CARDINAL SCALE MFG,CARDINAL SCALE MFG | CARDINAL SCALE MFG CO,2.0,7,9,United States Of America,True
E000018,TRANSOR FILTER,TRANSOR FILTER | TRANSOR Filter | Transor Filter,3.0,7,11,United States Of America,False
E000017,SUPERIOR DIE TOOL AND MACHINE,SUPERIOR DIE TOOL and MACHINE CO | SUPERIOR DIE TOOL AND MACHINE | Superior Die Tool and Machine | Superior Die Tool and Machine Co,4.0,7,11,United States Of America,True
E000708,HAAS AUTOMATION,Haas Automation,,7,12,United States Of America,
E000709,ISCAR,ISCAR,,7,11,Israel,
E000720,PT SOLUTIONS,PT SOLUTIONS,,7,17,United States Of America,
E000710,JINCHENGNUO GROUP,JINCHENGNUO GROUP,,7,14,China,
E000711,KANTO BUSSAN,KANTO BUSSAN CO,,7,14,Japan,
E000712,KYODO YUSHI,KYODO YUSHI,,7,14,Japan,
E000713,LEROY SOMER,LEROY SOMER,,7,8,France,
E000714,MESA PARTS,MESA PARTS GMBH,,7,13,Germany,
E000704,GARDNER DENVER,GARDNER DENVER,,7,10,United States Of America,
E000022,YOKOGAWA,YOKOGAWA | Yokogawa Corporation,2.0,7,12,Japan | United States Of America,True
E000021,WHITE DRIVE MOTORS,WHITE DRIVE MOTORS | White Drive Motors,2.0,7,9,United States Of America,False
E000739,AYZAR,AYZAR,,6,6,Turkey,
E000738,ALCON,ALCON,,6,17,Switzerland,
E000737,AEROSAFE PRODUCTS,AEROSAFE PRODUCTS,,6,20,United States Of America,
E000769,ORAS OLENSO,Oras Olenso,,6,6,,
E000024,ALUPRESS,ALUPRESS | Alupress,2.0,6,17,Italy,False
E000025,BALD EAGLE PRECISION,BALD EAGLE PRECISION | BALD EAGLE PRECISION LLC,2.0,6,9,United States Of America,True
E000026,FEINTOOL CINCINNATI,FEINTOOL CINCINNATI | Feintool Cincinnati Inc,2.0,6,10,United States Of America,True
E000027,GIACOMINI,GIACOMINI SPA | GIACOMINI,2.0,6,14,Italy,True
E000028,HUNAN XINJULI MACHINERY,HUNAN XINJULI MACHINERY | HUNAN XINJULI MACHINERY CO,2.0,6,11,China,True
E000029,REMINGTON ARMS,REMINGTON ARMS | Remington Arms Co Inc,2.0,6,9,United States Of America,True
E000030,SINGLE SOURCE TECHNOLOGIES,SINGLE SOURCE TECHNOLOGIES | Single Source Technologies,2.0,6,9,United States Of America,False
E000031,UNITED ALLOY,UNITED ALLOY | UNITED ALLOY INC,2.0,6,11,United States Of America,True
E000787,ZIMMER BIOMET,ZIMMER BIOMET,,6,10,United States Of America,
