Entity_1,Representative_1,Members_1,Countries_1,Ship_To_1,Entity_2,Representative_2,Members_2,Countries_2,Ship_To_2,Confidence,Combined_Name_Length,Ratio,Partial_Ratio,Token_Sort,Token_Set,Total_Ship_To
E006970,DAKOTA FLUID POWER,DAKOTA FLUID POWER,United States Of America,1,E008406,FLUID POWER,FLUID POWER,United States Of America,1,Medium,29,75.9,100.0,75.9,100.0,2
E008406,FLUID POWER,FLUID POWER,United States Of America,1,E011232,LAUREL FLUID POWER,LAUREL FLUID POWER,United States Of America,1,Medium,29,75.9,100.0,75.9,100.0,2
E008406,FLUID POWER,FLUID POWER,United States Of America,1,E013387,ORTMAN FLUID POWER,ORTMAN FLUID POWER,United States Of America,1,Medium,29,75.9,100.0,75.9,100.0,2
E011692,MACHINE SPECIALTY AND MANUFACTURE,MACHINE SPECIALTY AND MANUFACTURE,United States Of America,1,E012672,MACHINE SPECIALTY MACHINE,Machine Specialty Machine,United States Of America,1,Medium,58,75.9,88.9,75.9,100.0,2
E017704,WH BLAKELEY INDUSTRIAL,WH BLAKELEY INDUSTRIAL,United States Of America,1,E017705,WH BLAKELEY INDUSTRIAL CLAYTON NORTH,WH BLAKELEY INDUSTRIAL CLAYTON NORTH,,1,Medium,58,75.9,100.0,75.9,100.0,2
E005062,ATRION MEDICAL,ATRION MEDICAL,United States Of America,1,E005219,ATRION MEDICAL PRODUCTS,Atrion Medical Products Inc,United States Of America,1,Medium,37,75.7,100.0,75.7,100.0,2
E007438,DURA BAR METAL SERVICES,DURA BAR METAL SERVICES,United States Of America,1,E012206,METAL SERVICES,METAL SERVICES,Australia,1,Medium,37,75.7,100.0,75.7,100.0,2
E016973,TUBE MAC PIPING TECHNOLOGIES,TUBE MAC PIPING TECHNOLOGIES LTD,Canada,1,E016975,TUBE TECHNOLOGIES,TUBE TECHNOLOGIES,United States Of America,1,Medium,45,75.6,86.7,75.6,100.0,2
E004156,ABI DEETAG,ABI LTD DEETAG,Canada,1,E007094,DEETAG,DEETAG LTD,Canada,1,Medium,16,75.0,100.0,75.0,100.0,2
E005244,B C R,B C R,United States Of America,1,E005906,C R,C R,Italy,1,Medium,8,75.0,100.0,75.0,100.0,2
E005392,BEL EXPORT,BEL EXPORT,Brazil,1,E008100,EXPORT,EXPORT CORPORATION,United States Of America,1,Medium,16,75.0,100.0,75.0,100.0,2
