Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP,Normalization_Changed
Gjuteribolaget,5,6,Sweden,GJUTERIBOLAGET,False
HARTFORD TECHNOLOGY,5,8,United States Of America,HARTFORD TECHNOLOGY,False
HASKINS,5,14,United States Of America,HASKINS,False
HECKLER AND KOCH,5,9,Germany,HECKLER AND KOCH,False
HOLMAC CORPORATION,5,9,United States Of America,HOLMAC,True
HOWDEN,5,10,Scotland,HOWDEN,False
HOWMET AEROSPACE,5,6,United States Of America,HOWMET AEROSPACE,False
HUIYA TECHNOLOGY,5,12,China,HUIYA TECHNOLOGY,False
HUNAN XINJULI MACHINERY,5,9,China,HUNAN XINJULI MACHINERY,False
HUSKY INJECTION MOLDING,5,8,United States Of America,HUSKY INJECTION MOLDING,False
HUTCHINSON,5,8,France,HUTCHINSON,False
IEM POWER SYSTEMS,5,9,United States Of America,IEM POWER SYSTEMS,False
IMS GEAR,5,8,Germany,IMS GEAR,False
INGERSOLL RAND,5,9,Ireland,INGERSOLL RAND,False
INTERTEK,5,9,England,INTERTEK,False
ITS,5,6,Italy,ITS,False
KAWASAKI,5,10,Spain,KAWASAKI,False
KETTLE MORAINE COATINGS,5,9,United States Of America,KETTLE MORAINE COATINGS,False
KEWAUNEE SCIENTIFIC CORP,5,8,United States Of America,KEWAUNEE SCIENTIFIC,True
KLINGELNBERG,5,8,Germany,KLINGELNBERG,False
Kaba Ilco Corp,5,7,,KABA ILCO,True
Kamei,5,9,Japan,KAMEI,False
LAKE REGION MEDICAL,5,12,United States Of America,LAKE REGION MEDICAL,False
LEGGETT AND PLATT,5,9,United States Of America,LEGGETT AND PLATT,False
LUBRICANTES PARICIO,5,5,Spain,LUBRICANTES PARICIO,False
LUDOVIC TALON,5,5,,LUDOVIC TALON,False
MALUB,5,6,France,MALUB,False
MANITOU GROUP,5,10,France,MANITOU GROUP,False
MERCHANT METALS,5,8,United States Of America,MERCHANT METALS,False
MERITOR,5,9,United States Of America,MERITOR,False
METAL FINISHING SOLUTIONS,5,7,United States Of America,METAL FINISHING SOLUTIONS,False
METALCRAFT OF MAYVILLE,5,10,United States Of America,METALCRAFT OF MAYVILLE,False
METALTECNICA,5,13,Brazil,METALTECNICA,False
MISUMI GROUP,5,9,Japan,MISUMI GROUP,False
MITYLITE,5,12,United States Of America,MITYLITE,False
MORGAN ADVANCED MATERIALS,5,9,England,MORGAN ADVANCED MATERIALS,False
MUNDIAL,5,14,Brazil,MUNDIAL,False
NAGEL PRECISION,5,9,United States Of America,NAGEL PRECISION,False
NKT,5,6,Denmark,NKT,False
New_Cust_Plug,5,5,United States Of America,NEW_CUST_PLUG,False
ORKLI,5,6,Spain,ORKLI,False
PEISA,5,10,Mexico,PEISA,False
PROTERM GROUP,5,8,Slovenia,PROTERM GROUP,False
PYROTEK,5,9,United States Of America,PYROTEK,False
RAMPA,5,8,Germany,RAMPA,False
RAMSEY PRODUCTS CORPORATION,5,7,United States Of America,RAMSEY PRODUCTS,True
REMINGTON ARMS,5,8,United States Of America,REMINGTON ARMS,False
RENK,5,8,Germany,RENK,False
RETTIG,5,8,Finland,RETTIG,False
REX,5,10,Brazil,REX,False
RHENUS,5,7,Germany,RHENUS,False
SAW SYSTEMS,5,13,United States Of America,SAW SYSTEMS,False
SECO TOOLS,5,7,Sweden,SECO TOOLS,False
SHENZHEN XINRUNTONG,5,12,China,SHENZHEN XINRUNTONG,False
SIGNICAST,5,30,United States Of America,SIGNICAST,False
SINGLE SOURCE TECHNOLOGIES,5,8,United States Of America,SINGLE SOURCE TECHNOLOGIES,False
SOMECAB,5,5,France,SOMECAB,False
SORINEX EXERCISE EQUIPMENT,5,13,United States Of America,SORINEX EXERCISE EQUIPMENT,False
STILLWATER TECHNOLOGIES,5,8,United States Of America,STILLWATER TECHNOLOGIES,False
SUPFINA GRIESHABER,5,6,Germany,SUPFINA GRIESHABER,False
TECHNOVA SWEDEN AB,5,5,,TECHNOVA SWEDEN AB,False
TECUMSEH,5,5,Brazil,TECUMSEH,False
TRU TONE FINISHING,5,10,United States Of America,TRU TONE FINISHING,False
TTI,5,7,United States Of America,TTI,False
UNITED ALLOY,5,9,United States Of America,UNITED ALLOY,False
VALEO,5,5,France,VALEO,False
VALMONT,5,9,United States Of America,VALMONT,False
VIKING RANGE,5,9,United States Of America,VIKING RANGE,False
Veolia Water Technologies & Solutions,5,6,United States Of America,VEOLIA WATER TECHNOLOGIES SOLUTIONS,True
WEATHERFORD,5,10,United States Of America,WEATHERFORD,False
WESCO International,5,7,United States Of America,WESCO INTERNATIONAL,False
WIELAND GROUP,5,7,Germany,WIELAND GROUP,False
XIANLIDE,5,16,China,XIANLIDE,False
YOKOGAWA,5,9,Japan,YOKOGAWA,False
YOKOTA OIL,5,5,Japan,YOKOTA OIL,False
Yamamitsu Oil,5,11,Japan,YAMAMITSU OIL,False
ZWZ,5,12,China,ZWZ,False
A BRITE,4,7,United States Of America,A BRITE,False
AALBERTS INDUSTRIES,4,5,Netherlands,AALBERTS INDUSTRIES,False
ACCIONA,4,7,Spain,ACCIONA,False
ACUITY BRANDS,4,7,United States Of America,ACUITY BRANDS,False
ADIAMIX,4,6,France,ADIAMIX,False
AGE CUTTING TOOL LLC,4,7,United States Of America,AGE CUTTING TOOL,True
AI INDUSTRIES,4,7,United States Of America,AI INDUSTRIES,False
ALPARGATAS,4,7,Brazil,ALPARGATAS,False
ALTONA,4,6,Germany,ALTONA,False
AMF,4,6,United States Of America,AMF,False
AMSTED INDUSTRIES,4,6,United States Of America,AMSTED INDUSTRIES,False
ANA GLOBAL,4,7,United States Of America,ANA GLOBAL,False
ANNIBALE VITERIE GROUP,4,8,Italy,ANNIBALE VITERIE GROUP,False
ANOVA,4,12,United States Of America,ANOVA,False
APEL EXTRUSIONS,4,5,Canada,APEL EXTRUSIONS,False
APX,4,9,United States Of America,APX,False
ARTIFLEX MANUFACTURING,4,14,United States Of America,ARTIFLEX MANUFACTURING,False
Atelier Bourgea Usinage,4,5,Canada,ATELIER BOURGEA USINAGE,False
BANG AND OLUFSEN OPERATIONS,4,6,Denmark,BANG AND OLUFSEN OPERATIONS,False
BARRETO MANUFACTURING INC,4,9,United States Of America,BARRETO MANUFACTURING,True
BAYLOFF,4,8,United States Of America,BAYLOFF,False
BCI BURKE,4,6,United States Of America,BCI BURKE,False
BIFRANGI,4,5,Italy,BIFRANGI,False
BLACKHAWK,4,11,United States Of America,BLACKHAWK,False
BLACKHAWK INDUSTRIAL,4,5,United States Of America,BLACKHAWK INDUSTRIAL,False
BURGESS MANUFACTURING,4,8,United States Of America,BURGESS MANUFACTURING,False
BUTECH BLISS,4,4,United States Of America,BUTECH BLISS,False
BYD,4,4,China,BYD,False
CALDER INDUSTRIAL,4,8,England,CALDER INDUSTRIAL,False
CAPITOL INDUSTRIES,4,7,Canada,CAPITOL INDUSTRIES,False
CARLETON LIFE SUPPORT,4,7,United States Of America,CARLETON LIFE SUPPORT,False
CARLISLE,4,8,United States Of America,CARLISLE,False
CAULFIELD,4,8,Ireland,CAULFIELD,False
CELANESE,4,7,United States Of America,CELANESE,False
CFE,4,7,Mexico,CFE,False
CHANNELLOCK,4,6,United States Of America,CHANNELLOCK,False
CHEMICO GROUP,4,8,United States Of America,CHEMICO GROUP,False
CHRISTERS FINMEK,4,9,Sweden,CHRISTERS FINMEK,False
CHROME DEPOSIT,4,6,United States Of America,CHROME DEPOSIT,False
CIAL DE TRATAMIENT TERMICOS,4,5,Spain,CIAL DE TRATAMIENT TERMICOS,False
CINCINNATI GEARING SYSTEMS,4,7,United States Of America,CINCINNATI GEARING SYSTEMS,False
CMD,4,10,France,CMD,False
CNS TOOLING AND ABRASIVES,4,8,United States Of America,CNS TOOLING AND ABRASIVES,False
COMER INDUSTRIES,4,8,Italy,COMER INDUSTRIES,False
CSCEC,4,5,,CSCEC,False
DANSK,4,8,Denmark,DANSK,False
DC MACHINE,4,7,United States Of America,DC MACHINE,False
DEPUY,4,10,United States Of America,DEPUY,False
DOLEN TOOL SALES,4,9,United States Of America,DOLEN TOOL SALES,False
DOLLAR INDUSTRIES,4,7,Pakistan,DOLLAR INDUSTRIES,False
DOMETIC GROUP,4,6,Sweden,DOMETIC GROUP,False
